Beam,Date,Time,RTT(ms),Download(kbit/s),Upload(kbit/s)
1000,2018-11-14,2245,674.14,1792.0,1853.44
1000,2018-11-14,2250,1748.471,0.0,634.88
1000,2018-11-14,2255,,,
1000,2018-11-14,2300,1425.576,1873.92,1761.28
1000,2018-11-14,2305,1151.042,1361.92,1751.04
1000,2018-11-14,2310,694.652,768.0,1361.92
1000,2018-11-14,2315,,,
1000,2018-11-14,2320,1151.826,931.84,1413.12
1000,2018-11-14,2325,,,
1000,2018-11-14,2330,,,
1000,2018-11-14,2335,,,
1000,2018-11-14,2340,1073.083,71.68,1249.28
1000,2018-11-14,2345,635.394,614.4,2293.76
1000,2018-11-14,2350,452.081,0.0,1556.48
1000,2018-11-14,2355,806.479,563.2,2437.12
1000,2018-11-15,0000,444.348,430.08,2938.88
1000,2018-11-15,0005,,,
1000,2018-11-15,0010,1169.406,1064.96,2283.52
1000,2018-11-15,0015,559.742,389.12,2406.4
1000,2018-11-15,0020,427.395,696.32,2959.36
1000,2018-11-15,0025,,,
1000,2018-11-15,0030,647.681,174.08,2846.72
1000,2018-11-15,0035,466.436,327.68,2416.64
1000,2018-11-15,0040,,,
1000,2018-11-15,0045,476.106,317.44,2058.24
1000,2018-11-15,0050,484.435,419.84,2334.72
1000,2018-11-15,0055,965.243,1576.96,2969.6
1000,2018-11-15,0100,,,
1000,2018-11-15,0105,,,
1000,2018-11-15,0110,,,
1000,2018-11-15,0115,479.402,512.0,337.92
1000,2018-11-15,0120,628.1,1054.72,337.92
1000,2018-11-15,0125,,,
1000,2018-11-15,0130,585.812,1208.32,2949.12
1000,2018-11-15,0135,452.457,880.64,2836.48
1000,2018-11-15,0140,648.456,675.84,2365.44
1000,2018-11-15,0145,556.844,798.72,2406.4
1000,2018-11-15,0150,1809.861,819.2,2314.24
1000,2018-11-15,0155,440.43,81.92,1566.72
1000,2018-11-15,0200,1793.894,1894.4,993.28
1000,2018-11-15,0205,429.681,942.08,2754.56
1000,2018-11-15,0210,808.695,1413.12,348.16
1000,2018-11-15,0215,,,
1000,2018-11-15,0220,,,
1000,2018-11-15,0225,647.419,870.4,2918.4
1000,2018-11-15,0230,496.613,81.92,1556.48
1000,2018-11-15,0235,506.254,122.88,1658.88
1000,2018-11-15,0240,633.366,440.32,3000.32
1000,2018-11-15,0245,433.734,993.28,3010.56
1000,2018-11-15,0250,487.655,133.12,122.88
1000,2018-11-15,0255,462.942,1167.36,2959.36
1000,2018-11-15,0300,1108.01,563.2,409.6
1000,2018-11-15,0305,431.695,1658.88,2949.12
1000,2018-11-15,0310,427.808,245.76,2938.88
1000,2018-11-15,0315,1119.423,1730.56,2918.4
1000,2018-11-15,0320,,,
1000,2018-11-15,0325,,,
1000,2018-11-15,0330,613.242,0.0,1433.6
1000,2018-11-15,0335,962.565,972.8,2867.2
1000,2018-11-15,0340,,,
1000,2018-11-15,0345,,,
1000,2018-11-15,0350,936.451,1454.08,2867.2
1000,2018-11-15,0355,,,
1000,2018-11-15,0400,1172.241,737.28,2129.92
1000,2018-11-15,0405,439.48,1157.12,2170.88
1000,2018-11-15,0410,,,
1000,2018-11-15,0415,,,
1000,2018-11-15,0420,484.466,1607.68,2027.52
